sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
50,-0.0010319684308342403,-0.0001601119261931672,-0.0016993555054796161,-0.00026275106574757956,-0.0016993555054796161,-0.00026275106574757956,-0.00095039915,-0.00014545971,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
51,-0.0010663279864820652,-0.0001654239666368085,-0.0017179777823912445,-0.0002656020221820654,-0.0017179777823912445,-0.0002656020221820654,-0.0009311139,-0.00014254783,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
52,-0.0011010524311859627,-0.0001707918848160262,-0.001736222235194873,-0.0002683959089608834,-0.001736222235194873,-0.0002683959089608834,-0.00091222266,-0.00013969434,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
53,-0.001136134360713186,-0.00017621456218876123,-0.0017540964763611555,-0.0002711338686367526,-0.0017540964763611555,-0.0002711338686367526,-0.0008937121,-0.00013689799,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
54,-0.0011715665222800456,-0.00018169090254104963,-0.0017716080783429788,-0.00027381701761441946,-0.0017716080783429788,-0.00027381701761441946,-0.0008755801,-0.00013415745,0.0,0.0,[],0.01,1.0957249,-60,0.13442126,-10.924,-16.93
55,-0.0012073418089858026,-0.00018721983160503445,-0.0017887643352878513,-0.00027644645319924166,-0.0017887643352878513,-0.00027644645319924166,-0.0008578129,-0.00013147178,0.0,0.0,[],0.01,1.0957249,-60,0.13442126,-10.924,-16.93
56,-0.001243453259703529,-0.0001928002966815257,-0.0018055725358863128,-0.00027902325382456183,-0.0018055725358863128,-0.00027902325382456183,-0.00084041007,-0.00012884004,0.0,0.0,[],0.01,1.0957249,-60,0.13442126,-10.924,-16.93
57,-0.0012827254029980399,-0.00019886775582563136,-0.001963607164725545,-0.00030337295720528346,-0.001963607164725545,-0.00030337295720528346,-0.007901732,-0.0012174852,0.0,0.0,[],0.03692494044870654,1.0957249,1.1588254,0.13442126,-10.924,-16.93
58,-0.001325021586781077,-0.0002054350651087589,-0.002114809189151856,-0.00032836546415637713,-0.002114809189151856,-0.00032836546415637713,-0.0075601013,-0.0012496253,0.0,0.0,[],0.036924936,1.0957249,1.1588254,0.13442126,-10.924,-16.93
59,-0.0013702584073325857,-0.00021248991924949226,-0.0022618410275754286,-0.00035274270703666843,-0.0022618410275754286,-0.00035274270703666843,-0.007351592,-0.0012188621,0.0,0.0,[],0.03692492,1.0957249,1.1588254,0.13442126,-10.924,-16.93
60,-0.001418407258788648,-0.00022002231155056508,-0.00240744257280312,-0.0003766196150536416,-0.00240744257280312,-0.0003766196150536416,-0.0072800773,-0.0011938454,0.0,0.0,[],0.036924887,1.0957249,1.1588254,0.13442126,-10.924,-16.93
61,-0.001469370894483291,-0.00022802025530836546,-0.002548181784732151,-0.00039989718789001927,-0.002548181784732151,-0.00039989718789001927,-0.0070369607,-0.0011638787,0.0,0.0,[],0.036924824,1.0957249,1.1588254,0.13442126,-10.924,-16.93
62,-0.0015230901140239443,-0.00023647475078178106,-0.0026859609770326642,-0.00042272477367077954,-0.0026859609770326642,-0.00042272477367077954,-0.00688896,-0.0011413794,0.0,0.0,[],0.03692473,1.0957249,1.1588254,0.13442126,-10.924,-16.93
63,-0.001579509344810504,-0.00024537660810892704,-0.002820961539327982,-0.0004450928663572995,-0.002820961539327982,-0.0004450928663572995,-0.006750028,-0.0011184047,0.0,0.0,[],0.036924597,1.0957249,1.1588254,0.13442126,-10.924,-16.93
64,-0.0016385427401473865,-0.0002547167992088362,-0.002951669766844134,-0.0004670095549954567,-0.002951669766844134,-0.0004670095549954567,-0.0065354113,-0.0010958344,0.0,0.0,[],0.036924414,1.0957249,1.1588254,0.13442126,-10.924,-16.93
65,-0.0017002381452766715,-0.0002644959021563409,-0.003084770256464253,-0.0004889551473752363,-0.003084770256464253,-0.0004889551473752363,-0.006655025,-0.0010972796,0.0,0.0,[],0.036924176,1.0957249,1.1588254,0.13442126,-10.924,-16.93
66,-0.0017645395038925929,-0.00027470511246065145,-0.0032150679307960672,-0.0005104605152155273,-0.0032150679307960672,-0.0005104605152155273,-0.0065148836,-0.0010752684,0.0,0.0,[],0.03692387,1.0957249,1.1588254,0.13442126,-10.924,-16.93
67,-0.001831402253956185,-0.0002853349310680642,-0.003343137503179605,-0.0005314909303706372,-0.003343137503179605,-0.0005314909303706372,-0.006403479,-0.0010515208,0.0,0.0,[],0.036923498,1.0957249,1.1588254,0.13442126,-10.924,-16.93
68,-0.0019007766890354108,-0.0002963755866585416,-0.0034687217539612902,-0.00055203277952387,-0.0034687217539612902,-0.00055203277952387,-0.006279213,-0.0010270925,0.0,0.0,[],0.036923047,1.0957249,1.1588254,0.13442126,-10.924,-16.93
69,-0.001972609892836772,-0.0003078188336075982,-0.003591660190068069,-0.0005721623474528315,-0.003591660190068069,-0.0005721623474528315,-0.0061469222,-0.0010064784,0.0,0.0,[],0.03692251,1.0957249,1.1588254,0.13442126,-10.924,-16.93
70,-0.0020468382823673895,-0.0003196550852590008,-0.003711419476530864,-0.0005918125825701281,-0.003711419476530864,-0.0005918125825701281,-0.0059879646,-0.0009825118,0.0,0.0,[],0.03692188,1.0957249,1.1588254,0.13442126,-10.924,-16.93
71,-0.002123409432169865,-0.00033187668119353473,-0.003828557490123785,-0.000611079796726699,-0.003828557490123785,-0.000611079796726699,-0.005856901,-0.0009633607,0.0,0.0,[],0.03692115,1.0957249,1.1588254,0.13442126,-10.924,-16.93
72,-0.002202274203482375,-0.00034447589809133205,-0.0039432385656255065,-0.0006299608448898653,-0.0039432385656255065,-0.0006299608448898653,-0.005734054,-0.0009440524,0.0,0.0,[],0.036920317,1.0957249,1.1588254,0.13442126,-10.924,-16.93
73,-0.0022833842466934585,-0.00035744515051192136,-0.00405550216055417,-0.0006484626210294664,-0.00405550216055417,-0.0006484626210294664,-0.00561318,-0.0009250888,0.0,0.0,[],0.036919367,1.0957249,1.1588254,0.13442126,-10.924,-16.93
74,-0.002366698172954784,-0.0003707763197598979,-0.004165696313066292,-0.0006665584623988252,-0.004165696313066292,-0.0006665584623988252,-0.0055097076,-0.00090479205,0.0,0.0,[],0.036918294,1.0957249,1.1588254,0.13442126,-10.924,-16.93
75,-0.0024521759845811176,-0.0003844626698992215,-0.004273890581316664,-0.0006843175069661811,-0.004273890581316664,-0.0006843175069661811,-0.0054097134,-0.0008879522,0.0,0.0,[],0.03691709,1.0957249,1.1588254,0.13442126,-10.924,-16.93
76,-0.0025397921324838537,-0.0003984971709360252,-0.004380807395136799,-0.0007017250518401852,-0.004380807395136799,-0.0007017250518401852,-0.005345841,-0.00087037723,0.0,0.0,[],0.03691575,1.0957249,1.1588254,0.13442126,-10.924,-16.93
77,-0.0026294986432185397,-0.00041287279811513144,-0.004485325536734308,-0.0007187813589553116,-0.004485325536734308,-0.0007187813589553116,-0.005225907,-0.0008528154,0.0,0.0,[],0.036914263,1.0957249,1.1588254,0.13442126,-10.924,-16.93
78,-0.0027212513550693984,-0.0004275826847879216,-0.004587635592542938,-0.0007354943336395081,-0.004587635592542938,-0.0007354943336395081,-0.005115503,-0.00083564874,0.0,0.0,[],0.036912628,1.0957249,1.1588254,0.13442126,-10.924,-16.93
79,-0.002815012782884878,-0.0004426204488117946,-0.004688071390773985,-0.0007518882011936512,-0.004688071390773985,-0.0007518882011936512,-0.00502179,-0.00081969344,0.0,0.0,[],0.036910832,1.0957249,1.1588254,0.13442126,-10.924,-16.93
80,-0.0029106250840777647,-0.00045796845013683195,-0.004780615059644333,-0.0007674000662518665,-0.004780615059644333,-0.0007674000662518665,-0.0046271835,-0.0007755933,0.0,0.0,[],0.036908872,1.0957249,1.1588254,0.13442126,-10.924,-16.93
81,-0.003008046665781876,-0.00047362044471810805,-0.004871079085205565,-0.0007825997290638043,-0.004871079085205565,-0.0007825997290638043,-0.0045232014,-0.00075998314,0.0,0.0,[],0.036906738,1.0957249,1.1588254,0.13442126,-10.924,-16.93
82,-0.0031072511305319495,-0.0004895696032508567,-0.004960223237503669,-0.0007974579266374349,-0.004960223237503669,-0.0007974579266374349,-0.004457208,-0.0007429099,0.0,0.0,[],0.03690442,1.0957249,1.1588254,0.13442126,-10.924,-16.93
83,-0.0032081971644220175,-0.0005058095045569644,-0.005047301694503403,-0.000811995065305382,-0.005047301694503403,-0.000811995065305382,-0.004353923,-0.00072685693,0.0,0.0,[],0.036901914,1.0957249,1.1588254,0.13442126,-10.924,-16.93
84,-0.0033108478747089975,-0.0005223342778117513,-0.0051325355143490015,-0.0008262386627393425,-0.0051325355143490015,-0.0008262386627393425,-0.004261691,-0.00071217987,0.0,0.0,[],0.036899216,1.0957249,1.1588254,0.13442126,-10.924,-16.93
85,-0.003415172256209189,-0.0005391389072065067,-0.005216219075009576,-0.0008402314697377733,-0.005216219075009576,-0.0008402314697377733,-0.004184178,-0.00069964037,0.0,0.0,[],0.03689631,1.0957249,1.1588254,0.13442126,-10.924,-16.93
86,-0.003521136113231478,-0.0005562177615320252,-0.005298192851114436,-0.0008539427162759239,-0.005298192851114436,-0.0008539427162759239,-0.0040986887,-0.0006855623,0.0,0.0,[],0.036893196,1.0957249,1.1588254,0.13442126,-10.924,-16.93
87,-0.0036287999767955627,-0.0005735657104196434,-0.0053831931782042375,-0.0008673974443809129,-0.0053831931782042375,-0.0008673974443809129,-0.0042500165,-0.00067273644,0.0,0.0,[],0.036889862,1.0957249,1.1588254,0.13442126,-10.924,-16.93
88,-0.003738128321892873,-0.0005911778934205358,-0.005466417254865519,-0.00088060915004462,-0.005466417254865519,-0.00088060915004462,-0.0041612037,-0.0006605853,0.0,0.0,[],0.0368863,1.0957249,1.1588254,0.13442126,-10.924,-16.93
89,-0.0038490857438591773,-0.0006090489516827802,-0.005547871098315227,-0.0008935529131122166,-0.005547871098315227,-0.0008935529131122166,-0.0040726922,-0.00064718816,0.0,0.0,[],0.036882512,1.0957249,1.1588254,0.13442126,-10.924,-16.93
