sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
78,0.0036964675881972667,-0.002357775093664714,0.005440990385977784,-0.003598150807647471,0.005440990385977784,-0.003598150807647471,0.0029338468,-0.0021753476,0.0,0.0,[],0.12779067,60.762394,60.808147,0.14140469,16.296,11.99
79,0.0038064330146517036,-0.002430590463659428,0.005498271322721848,-0.0036407684997357137,0.005498271322721848,-0.0036407684997357137,0.002864047,-0.0021308847,0.0,0.0,[],0.12776858,60.762394,60.808147,0.14140469,16.296,11.99
80,0.003917516781039013,-0.002504240737857799,0.005554188319365494,-0.0036825137099185667,0.005554188319365494,-0.0036825137099185667,0.00279585,-0.0020872606,0.0,0.0,[],0.1277454,60.762394,60.808147,0.14140469,16.296,11.99
81,0.0040296922011839355,-0.0025787087954222444,0.005608771007246105,-0.0037234028782222595,0.005608771007246105,-0.0037234028782222595,0.0027291344,-0.0020444584,0.0,0.0,[],0.12772113,60.762394,60.808147,0.14140469,16.296,11.99
82,0.004142933188450116,-0.002653977837912862,0.005662049363309052,-0.003763452124530886,0.005662049363309052,-0.003763452124530886,0.0026639178,-0.0020024623,0.0,0.0,[],0.12769574,60.762394,60.808147,0.14140469,16.296,11.99
83,0.004257158025538958,-0.0027300304067421166,0.005711241854442051,-0.00380262844146273,0.005711241854442051,-0.00380262844146273,0.0024596245,-0.0019588158,0.0,0.0,[],0.1276692,60.762394,60.808147,0.14140469,16.296,11.99
84,0.004372343508694031,-0.0028068504899283653,0.00575927415775368,-0.0038410041593124333,0.00575927415775368,-0.0038410041593124333,0.0024016153,-0.001918786,0.0,0.0,[],0.1276415,60.762394,60.808147,0.14140469,16.296,11.99
85,0.004488466591319595,-0.002884422227630239,0.005806154131278163,-0.003878586885093682,0.005806154131278163,-0.003878586885093682,0.0023439988,-0.0018791363,0.0,0.0,[],0.12761259,60.762394,60.808147,0.14140469,16.296,11.99
86,0.004605504744722568,-0.0029627300532274604,0.005851907670148648,-0.003915391279861069,0.005851907670148648,-0.003915391279861069,0.002287677,-0.0018402198,0.0,0.0,[],0.12758246,60.762394,60.808147,0.14140469,16.296,11.99
87,0.0047234773715536015,-0.0030417541601809716,0.005898631341551663,-0.003951205347675568,0.005898631341551663,-0.003951205347675568,0.0023361836,-0.0017907034,0.0,0.0,[],0.12755108,60.762394,60.808147,0.14140469,16.296,11.99
88,0.004842362913077524,-0.003121479682909012,0.005944277076196158,-0.003986276136402012,0.005944277076196158,-0.003986276136402012,0.0022822868,-0.0017535394,0.0,0.0,[],0.12751843,60.762394,60.808147,0.14140469,16.296,11.99
89,0.004962139297749675,-0.0032018919954998636,0.005988819233607501,-0.00402061562954259,0.005988819233607501,-0.00402061562954259,0.002227108,-0.0017169748,0.0,0.0,[],0.1274845,60.762394,60.808147,0.14140469,16.296,11.99
90,0.0050827849420966255,-0.0032829767391422135,0.006032282217347529,-0.004054237182117504,0.006032282217347529,-0.004054237182117504,0.0021731493,-0.0016810776,0.0,0.0,[],0.12744924,60.762394,60.808147,0.14140469,16.296,11.99
91,0.00520427871069842,-0.0033647198192147698,0.006074688430089736,-0.004087154003627802,0.006074688430089736,-0.004087154003627802,0.0021203107,-0.0016458412,0.0,0.0,[],0.12741263,60.762394,60.808147,0.14140469,16.296,11.99
92,0.005326599929940132,-0.00344710739844686,0.006116060962085612,-0.004119378961604525,0.006116060962085612,-0.004119378961604525,0.0020686267,-0.0016112479,0.0,0.0,[],0.12737465,60.762394,60.808147,0.14140469,16.296,11.99
93,0.0054497418028404375,-0.0035301262447092084,0.006157093645015266,-0.004150942313117412,0.006157093645015266,-0.004150942313117412,0.0020516342,-0.0015781675,0.0,0.0,[],0.12733528,60.762394,60.808147,0.14140469,16.296,11.99
94,0.005573684224982573,-0.003613763011640003,0.0061971211071067955,-0.004181838346539735,0.0061971211071067955,-0.004181838346539735,0.002001373,-0.0015448016,0.0,0.0,[],0.1272945,60.762394,60.808147,0.14140469,16.296,11.99
95,0.005698401349836788,-0.0036980050196825684,0.0062358562427107245,-0.0042121004021282715,0.0062358562427107245,-0.0042121004021282715,0.0019367569,-0.0015131028,0.0,0.0,[],0.12725228,60.762394,60.808147,0.14140469,16.296,11.99
96,0.005823879981144275,-0.003782839453983797,0.006273931565374369,-0.004241721715061431,0.006273931565374369,-0.004241721715061431,0.0019037662,-0.0014810656,0.0,0.0,[],0.1272086,60.762394,60.808147,0.14140469,16.296,11.99
97,0.005950101275193448,-0.003868253663763425,0.00631106470245868,-0.004270710488981422,0.00631106470245868,-0.004270710488981422,0.001856657,-0.0014494387,0.0,0.0,[],0.12716344,60.762394,60.808147,0.14140469,16.296,11.99
98,0.006077046809550667,-0.0039542352246326115,0.00634727671786095,-0.0042990780434593034,0.00634727671786095,-0.0042990780434593034,0.0018106009,-0.0014183777,0.0,0.0,[],0.12711675,60.762394,60.808147,0.14140469,16.296,11.99
99,0.0062046985313281774,-0.004040771933318865,0.0063825860888755415,-0.00432683543431267,0.0063825860888755415,-0.00432683543431267,0.0017654686,-0.0013878696,0.0,0.0,[],0.12706853,60.762394,60.808147,0.14140469,16.296,11.99
