sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
70,0.0026808742015418828,0.00010581089191646244,0.004323653287428897,0.00017373719151692057,0.004323653287428897,0.00017373719151692057,0.0,0.0,[],0.12730256,31.16971,31.23961,0.0,0.0,0.0
71,0.002770088315810426,0.00010940229326706687,0.00446070571342716,0.00017957006753022142,0.00446070571342716,0.00017957006753022142,0.0,0.0,[],0.12730101,31.16971,31.23961,0.0,0.0,0.0
72,0.002861973837498226,0.00011310851996995555,0.004594276084390003,0.00018531133514443354,0.004594276084390003,0.00018531133514443354,0.0,0.0,[],0.12729917,31.16971,31.23961,0.0,0.0,0.0
73,0.0029564586449851047,0.00011692697712760494,0.004724240374343935,0.00019092285788246954,0.004724240374343935,0.00019092285788246954,0.0,0.0,[],0.12729701,31.16971,31.23961,0.0,0.0,0.0
74,0.0030534740363509626,0.00012085520704886223,0.00485076956829289,0.0001964114960628649,0.00485076956829289,0.0001964114960628649,0.0,0.0,[],0.12729451,31.16971,31.23961,0.0,0.0,0.0
75,0.003152948948481935,0.00012489079481611045,0.0049737456065486185,0.00020177938836241083,0.0049737456065486185,0.00020177938836241083,0.0,0.0,[],0.12729163,31.16971,31.23961,0.0,0.0,0.0
76,0.0032548102172586368,0.00012903115489052653,0.005093063438835088,0.0002070180037208047,0.005093063438835088,0.0002070180037208047,0.0,0.0,[],0.12728837,31.16971,31.23961,0.0,0.0,0.0
77,0.0033589997934905112,0.00013327407578117345,0.005209478811593726,0.00021214604453234642,0.005209478811593726,0.00021214604453234642,0.0,0.0,[],0.12728468,31.16971,31.23961,0.0,0.0,0.0
78,0.0034654609829158287,0.0001376176529697659,0.0053230594712658785,0.00021717885942962312,0.0053230594712658785,0.00021717885942962312,0.0,0.0,[],0.12728055,31.16971,31.23961,0.0,0.0,0.0
79,0.003574131097484496,0.00014205965960400135,0.005433505728433374,0.00022210033171177201,0.005433505728433374,0.00022210033171177201,0.0,0.0,[],0.12727594,31.16971,31.23961,0.0,0.0,0.0
80,0.003684942966865492,0.0001465972520213654,0.0055405934690497816,0.00022687962086820335,0.0055405934690497816,0.00022687962086820335,0.0,0.0,[],0.12727085,31.16971,31.23961,0.0,0.0,0.0
81,0.0037978373676742193,0.00015122831043527183,0.0056447200404363684,0.00023155292069532152,0.0056447200404363684,0.00023155292069532152,0.0,0.0,[],0.12726521,31.16971,31.23961,0.0,0.0,0.0
82,0.00391267625229375,0.0001559504425927116,0.0057419442309765145,0.00023610660787198867,0.0057419442309765145,0.00023610660787198867,0.0,0.0,[],0.12725905,31.16971,31.23961,0.0,0.0,0.0
